name,url,img,poem
Lefty the Donkey,https://www.angelfire.com/ar/bbcollector/lefty.html,img/lefty.gif,"Donkeys to the left, elephants to the right Often seems like a crazy sight This whole game seems very funny Until you realize they're spending your money!"
Legs the Frog,https://www.angelfire.com/ar/bbcollector/legs.html,img/legs.gif,Legs lives in a hollow log Legs likes to play leap frog If you like to hang out at the lake Legs will be the new friend you'll make!
Libearty the Bear,https://www.angelfire.com/ar/bbcollector/libearty.html,img/libearty.gif,I am called Libearty I wear the flag for all to see Hope and freedom is my way That's why I wear flag USA!
Lizzy the Tie-Dyed Lizard,https://www.angelfire.com/ar/bbcollector/lizzy.html,No image found,Her best friend Legs was at her house waiting Today is the day they go roller blading But Lizzy Lou had to stay home So Legs had to roller blade alone.
Lizzy the Lizard,https://www.angelfire.com/ar/bbcollector/lizzy1.html,img/lizzy.gif,Lizzy loves Legs the frog She hides with him under logs Both of them search for flies Underneath the clear blue skies
Lucky the Ladybug,https://www.angelfire.com/ar/bbcollector/lucky.html,img/lucky.gif,"Lucky the lady buy loves the lotto ""Someone must win"" that's her motto But save your dimes and even a penny Don't spend on the lotto and you'll have many!"
Magic the Dragon,https://www.angelfire.com/ar/bbcollector/magic.html,img/magic.gif,"Magic the dragon lives in a dream The most beautiful that you have ever seen Through magic lands she likes to fly Look up and watch her, way up high!"
Manny the Manatee,https://www.angelfire.com/ar/bbcollector/manny.html,img/manny.gif,Manny is sometimes called a sea cow She likes to twirl and likes to bow Manny sure is glad you bought her Because it's so lonely under water
Maple the Bear,https://www.angelfire.com/ar/bbcollector/maple.html,img/maple.gif,"Maple the bear likes to ski With his friends, he plays hockey He loves his pancakes and eats every crumb Can you guess which country he's from?"
Mel the Koala,https://www.angelfire.com/ar/bbcollector/mel.html,img/mel.gif,"How do you name a Koala bear? It's rather tough, I do declare! It confuses me, I get into a funk I'll name him Mel, after my favorite hunk!"
Mystic the Unicorn,https://www.angelfire.com/ar/bbcollector/mystic.html,img/mystic.gif,"Once upon a time so far away A unicorn was born one day in May Keep Mystic with you, she's a prize You'll see the magic in her blue eyes!"
Nanook the Husky,https://www.angelfire.com/ar/bbcollector/nanook.html,img/nanook.gif,"Nanook is a dog that loves cold weather To him a sled is light as a feather Over the snow and through the slush He runs at hearing the cry of ""mush""!"
Nip the Cat,https://www.angelfire.com/ar/bbcollector/nip.html,img/nip.gif,"His name is Nipper, but we call him Nip His best friend is a black cat called Zip Nip likes to run in races for fun He runs so fast he's always number one!"
Nuts the Squirrel,https://www.angelfire.com/ar/bbcollector/nuts.html,img/nuts.gif,"With his bushy tail, he'll scamper up a tree The most cheerful critter you'll ever see He's nuts about nuts, and he loves to chat Have you ever seen a squirrel like that?"
Patti the Platypus,https://www.angelfire.com/ar/bbcollector/patti.html,img/patti.gif,Ran into Patti one day while walking Believe me she wouldn't stop talking Listened and listened to her speak That would explain her extra large beak!
Peace the Bear,https://www.angelfire.com/ar/bbcollector/peace.html,img/peace.gif,"All races, all colors, under the sun Join hands together and have some fun Dance to the music, rock and roll is the sound Symbols of peace and love abound!"
Peanut the Elephant,https://www.angelfire.com/ar/bbcollector/peanut.html,img/peanut.gif,Peanut the elephant walks on tip-toes Quietly sneaking wherever she goes She'll sneak up on you and a hug you will get Peanut is a friend you won't soon forget!
Pinchers the Lobster,https://www.angelfire.com/ar/bbcollector/pinchers.html,img/pinchers.gif,This lobster loves to pinch Eating his food inch by inch Balancing carefully with his tail Moving forward slow as a snail!
Pinky the Flamingo,https://www.angelfire.com/ar/bbcollector/pinky.html,img/pinky.gif,Pinky loves the everglades From the hottest pink she's made With floppy legs and big orange beak She's the Beanie that you seek!
